degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Fitness and Human Performance B.S.,PSYC,4370,Nonexperimental Methods and Statistics,Major Requirements,42
Professional Accounting Integrated B.S. and M.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,HIST,1301,United States History I,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3310,Legal and Ethical Issues,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3311,History and Theories of Nursing,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3313,Community Health Nursing,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3314,Trends and Issues in Nursing Practices,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,3323,Community Health Nursing Project,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,4313,Nursing Research,Major Requirements,30
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,PHYS,1302,College Physics II,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,PHYS,2325,University Physics I,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,PHYS,2326,University Physics II,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,HUMN,1301,Humanities,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,LITR,2341,Literature and Experience,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Psychology B.S.,PHYS,2326,University Physics II,University Core Requirements,42
Psychology B.S.,HUMN,1301,Humanities,University Core Requirements,42
Psychology B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Psychology B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Psychology B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Psychology B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Sociology B.S.,HIST,1301,United States History I,University Core Requirements,42
Sociology B.S.,HIST,1302,United States History II,University Core Requirements,42
Sociology B.S.,POLS,2305,Federal Government,University Core Requirements,42
Sociology B.S.,POLS,2306,Texas Government,University Core Requirements,42
Sociology B.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Sociology B.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Social Work B.S.W.,ARTS,1304,World Art Survey II,University Core Requirements,42
Social Work B.S.W.,ARTS,2379,Arts and the Child,University Core Requirements,42
Social Work B.S.W.,HIST,1301,United States History I,University Core Requirements,42
Social Work B.S.W.,HIST,1302,United States History II,University Core Requirements,42
Social Work B.S.W.,POLS,2305,Federal Government,University Core Requirements,42
Social Work B.S.W.,POLS,2306,Texas Government,University Core Requirements,42
Finance B.S.,FINC,4351,International Financial Operations,Major Requirements,18
Finance B.S.,ACCT,4352,Advanced Financial Accounting,Elective Requirements,12
Finance B.S.,FINC,3301,Personal Money Management,Elective Requirements,12
Finance B.S.,FINC,3351,Real Estate Investment Analysis,Elective Requirements,12
Accounting B.S.,ACCT,4332,Financial Information Systems,Major Requirements,21
Accounting B.S.,ACCT,4341,Auditing I,Major Requirements,21
Accounting B.S.,ACCT,4352,Advanced Financial Accounting,Major Requirements,21
Art and Design B.F.A.,ARTS,3320,Ceramics,Major Requirements,72
Art and Design B.F.A.,ARTS,3333,Life Drawing,Major Requirements,72
Art and Design B.F.A.,ARTS,3340,Printmaking,Major Requirements,72
Art and Design B.F.A.,ARTS,3360,Graphic Design,Major Requirements,72
Art and Design B.F.A.,ARTS,4390,Senior Seminar in Art,Major Requirements,72
Environmental Science B.S.,BIOL,2428,Vertebrate Zoology,SpecializationRequirements,44
Environmental Science B.S.,BIOL,3311,Marine Biology,SpecializationRequirements,44
Environmental Science B.S.,BIOL,4305,Ecology of the Amazon,SpecializationRequirements,44
Environmental Science B.S.,BIOL,4327,Plant Identification,SpecializationRequirements,44
Environmental Science B.S.,CHEM,2301,Analytical Chemistry I,SpecializationRequirements,44
Criminology B.S.,CRIM,4385,Research Methods,Major Requirements,48
Criminology B.S.,CRIM,4390,Contemporary Issues in Criminology,Major Requirements,48
Criminology B.S.,PSYC,4311,Social Psychology,Major Requirements,48
Criminology B.S.,PSYC,4351,Abnormal Psychology,Major Requirements,48
Criminology B.S.,SOCI,4312,"Social Structure: Class, Power, and Status",Major Requirements,48
Environmental Management B.S.,MGMT,4327,Leadership,Major Requirements,45
Environmental Management B.S.,MGMT,4353,International Business Management,Major Requirements,45
Environmental Management B.S.,MGMT,4354,Organizational Behavior Theory and Application,Major Requirements,45
Environmental Management B.S.,MGMT,4357,Government Budget Planning and Analysis,Major Requirements,45
Environmental Management B.S.,BIOL,3311,Marine Biology,Major Requirements,45
Geography B.S. with Social Studies 7-12 Certification,TCED,4102,Secondary 4-8 and 7-12 Content Teacher Seminar,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,TCED,4306,Creating Positive Learning Environments in 7-12,Major Requirements,46
Geography B.S. with Social Studies 7-12 Certification,TCED,4361,Methods in Secondary Social Studies,PedagogyRequirements,15
Geography B.S. with Social Studies 7-12 Certification,TCED,4378,Pre-Service Internship I,PedagogyRequirements,15
Geography B.S. with Social Studies 7-12 Certification,TCED,4978,Pre-Service Internship II/Student Teaching,PedagogyRequirements,15
Anthropology B.S.,PSYC,4334,Psychology of Women,Major Requirements,42
Anthropology B.S.,PSYC,4356,The Aging Experience,Major Requirements,42
Anthropology B.S.,SOCI,3352,Urban Sociology,Major Requirements,42
Anthropology B.S.,SOCI,4316,Women and the Law,Major Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,4301,Methods in Secondary Art Education,Pedagogy Requirements,18
Art and Design B.F.A. with Grades EC-12 Art Certification,TCED,4378,Pre-Service Internship I,Pedagogy Requirements,18
Art and Design B.F.A. with Grades EC-12 Art Certification,TCED,4978,Pre-Service Internship II/Student Teaching,Pedagogy Requirements,18
Mathematics B.S. with Mathematics 7-12 Certification,LITR,2341,Literature and Experience,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,ARTS,1303,World Art Survey I,University Core Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,ARTS,1304,World Art Survey II,University Core Requirements,42
Physics B.S.,CHEM,1111,Laboratory for General Chemistry I,University Core Requirements,42
Physics B.S.,CHEM,1112,Laboratory for General Chemistry II,University Core Requirements,42
Physics B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Physics B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Physics B.S.,CHEM,1111,Laboratory for General Chemistry I,Major Requirements,49
Public Service Leadership B.S.,HIST,1302,United States History II,University Core Requirements,42
Public Service Leadership B.S.,POLS,2305,Federal Government,University Core Requirements,42
Public Service Leadership B.S.,POLS,2306,Texas Government,University Core Requirements,42
Public Service Leadership B.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Public Service Leadership B.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Public Service Leadership B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Mathematical Science B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Mathematical Science B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Mathematical Science B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Mathematical Science B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Mathematical Science B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Mathematical Science B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,4314,Advanced Leadership and Management,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,4324,Advanced Leadership and Management Practicum,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,4370,Nonexperimental Methods and Statistics,Major Requirements,30
Mathematics B.A. with Mathematics 4-8 Certification,PHYS,1301,College Physics I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,PHYS,1302,College Physics II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,PHYS,2325,University Physics I,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,PHYS,2326,University Physics II,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,HUMN,1301,Humanities,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,LITR,2341,Literature and Experience,University Core Requirements,42
Mathematics B.A. with Mathematics 4-8 Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Pre-Engineering,MENG,2334,Thermodynamics I,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,MATH,2320,Differential Equations,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,2325,Organic Chemistry II,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,CHEM,2125,Laboratory for Organic Chemistry II,Specialization in Chemical EngineeringRequirements,
Pre-Engineering,HIST,1302,United States History II,Specialization in Chemical EngineeringRequirements,
Fitness and Human Performance B.S.,PSYC,4371,Experimental Methods and Statistics,Major Requirements,42
Fitness and Human Performance B.S.,BIOL,3173,Laboratory for Human Anatomy,Major Requirements,42
Fitness and Human Performance B.S.,BIOL,3373,Human Anatomy,Major Requirements,42
Fitness and Human Performance B.S.,BIOL,4241,Laboratory for Physiology,Major Requirements,42
Fitness and Human Performance B.S.,BIOL,4345,Human Physiology,Major Requirements,42
Professional Accounting Integrated B.S. and M.S.,HIST,1302,United States History II,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,POLS,2305,Federal Government,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,POLS,2306,Texas Government,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,COMM,1315,Public Speaking,University Core Requirements,42
Professional Accounting Integrated B.S. and M.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,4314,Advanced Leadership and Management,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,NURS,4324,Advanced Leadership and Management Practicum,Major Requirements,30
Registered Nurse-Bachelor of Science Nursing B.S.N.,PSYC,4370,Nonexperimental Methods and Statistics,Major Requirements,30
